Human	Worm	Type	OMAGroup
117286	172774	n:1	961727
26017	176500	1:1	
8907	173121	1:1	1221327
58513	173985	1:1	
10523	179857	1:1	
79041	174867	n:1	
23309	172628	n:1	
HUMAN41706	171650	n:1	
55850	172140	1:1	
2063	192082	n:1	
57719	178395	1:1	
84705	3564835	1:1	
376497	178190	n:m	
376497	181138	n:m	
79709	3565069	n:1	
23149	173511	n:1	
10331	266924	n:1	
6142	24104384	1:1	1195325
115098	171725	1:1	1207999
HUMAN41885	172602	1:1	
23031	178218	1:1	
10437	3564874	1:1	
84769	191323	1:1	
5864	173971	n:1	968487
5143	174235	n:1	697811
5143	174235	n:1	
25804	174193	1:1	
54858	CAEEL01789	n:1	
170463	174975	n:1	969198
51477	174792	1:1	1248325
8178	177206	1:1	
7311	176718	1:1	
5976	171696	1:1	691037
10715	189370	1:1	
11316	176766	1:1	1232747
54555	186756	1:1	
284439	172656	1:1	917328
54929	173230	n:1	
729991	173350	1:1	
23383	172598	1:1	
83983	174755	1:1	
51291	174278	1:1	
57130	178070	1:1	707418
81931	172281	n:1	
7639	172281	n:1	
HUMAN42305	174931	1:1	
7386	177609	1:1	
10775	173100	1:1	
8725	183841	1:1	
9141	183935	1:1	
390916	183413	1:1	
84902	CAEEL19678	1:1	
55094	175574	1:1	
5184	171704	1:1	1249423
26065	173158	n:1	
2821	173227	1:1	902699
10054	24104970	1:1	1244414
57655	172343	n:1	
374897	177846	1:1	
10430	175987	1:1	1224550
55851	176565	1:1	736107
4868	CAEEL20448	1:1	965596
84063	180555	n:1	964914
HUMAN42888	182043	1:1	661122
5438	179178	1:1	1239692
1155	186176	1:1	1226512
126231	172281	n:1	
90522	179400	n:1	
147965	177564	n:1	
6261	CAEEL14390	n:1	
27335	179779	1:1	1197455
81	179709	n:1	
3963	175212	n:1	1215963
3963	175212	n:1	
1891	186486	1:1	
3191	3565706	n:1	1187337
6183	180368	1:1	
10298	179527	n:1	
9535	259487	n:1	1223017
54623	179583	1:1	
6217	179998	1:1	
6829	178143	1:1	
2091	179999	1:1	961124
5704	175925	1:1	960914
HUMAN43515	179424	1:1	
92799	179226	n:1	1164761
8425	176315	1:1	
6626	177181	1:m	720077
6626	177182	1:m	
90324	179891	1:1	961618
HUMAN43749	176716	n:1	1240968
80776	189676	1:1	871391
56915	174634	1:1	
593	176716	n:1	
6223	172805	1:1	
HUMAN43854	179796	n:1	
478	179796	n:1	
2931	173149	n:1	
284339	182623	1:1	803716
23474	177783	1:1	775288
3783	183736	1:1	
23624	180419	1:1	945552
10452	174431	n:1	1214066
1209	174620	1:m	
1209	180976	1:m	
11129	179705	1:1	961986
2068	CAEEL06639	1:1	901415
2067	172867	1:1	1185135
7408	190098	n:1	
24139	180358	n:1	965155
6633	179639	1:1	
1762	179410	n:1	
8189	182490	1:1	
5536	180263	1:1	1195465
805	178614	n:1	961875
29888	179445	n:1	
1175	184091	1:1	1247164
2909	178348	n:1	
4861	172788	1:1	
10055	CAEEL15279	1:1	784010
27113	177901	1:1	
9704	177135	1:1	
6543	178918	n:1	1178875
8775	179193	n:1	
29997	180246	1:1	961126
3978	179502	1:1	1189350
23546	180995	n:1	
10945	175833	n:m	1175971
10945	181228	n:m	
83743	175701	1:1	960935
3770	191695	n:1	
9266	176140	n:1	839319
6141	178342	1:1	1251265
770	174218	n:m	
770	CAEEL07538	n:m	
587	180361	1:1	
4924	181230	n:1	
2997	174924	n:1	1151939
10856	177458	1:1	1249746
64130	175089	n:1	
8541	181255	n:1	
3270	177394	1:1	
57030	176291	n:1	
23521	175455	1:1	1244283
6205	178083	1:1	1244565
51070	177526	1:1	1166681
3276	180326	n:1	
160	181163	n:1	
11284	177681	1:1	
5424	179652	1:1	824449
126119	259492	n:1	1173431
554235	13189316	1:1	1207269
93650	188466	1:m	
93650	176030	1:m	
90353	176826	1:1	
2109	171800	1:1	866853
5518	175750	n:1	
26121	172146	1:1	1150856
HUMAN45916	176614	1:1	961267
79165	CAEEL00102	1:1	
79143	181252	1:1	966040
6203	174699	1:1	1218543
57348	181328	n:1	
114823	175829	1:1	
54869	178411	n:1	
HUMAN46130	177295	n:m	
HUMAN46130	181124	n:m	
HUMAN46130	181329	n:m	
84446	181471	n:1	
6158	179739	1:1	
163033	190310	1:1	
11338	175270	1:1	961158
29924	181577	n:1	
57663	172925	1:m	
57663	179586	1:m	
10597	180478	n:1	1189468
6193	178012	1:1	
27243	174908	1:1	675935
26155	174598	1:1	1210782
84808	176720	1:1	
51150	183859	1:1	
126792	173635	1:1	
116983	174848	n:1	
126789	260252	1:1	
54973	174310	1:1	1229111
80772	178144	1:1	
1855	266854	n:m	
1855	173894	n:m	
219293	174590	n:1	
83858	174590	n:1	
55210	174590	n:1	1224967
29101	188472	n:1	1239073
2782	174803	n:1	961002
5590	173914	n:1	
11079	174410	1:1	1209570
55229	180779	1:1	814194
1953	178377	1:1	968007
57470	171890	1:1	1223726
9731	174711	1:1	
261734	179620	1:1	1187086
26038	178970	n:m	
26038	181421	n:m	
6146	173873	n:1	
388591	179566	1:1	1195175
23463	172106	1:m	824299
23463	187374	1:m	
55735	3565947	1:1	949705
11315	173416	1:1	960984
2023	174423	n:1	1250150
80176	266877	n:1	
84275	174602	n:1	
5293	174762	n:1	
22883	174006	n:1	
84328	3564772	1:1	1240120
64802	172754	1:m	
64802	189236	1:m	
23095	174144	n:1	962159
5226	177971	1:1	1226822
23435	174436	n:1	968061
HUMAN47436	174436	n:1	
6723	174914	1:1	1218077
2475	172167	1:1	
4524	174254	1:1	844453
5351	174564	n:1	720144
9927	173990	n:1	1221689
23341	174093	1:1	
440567	176772	n:1	
7709	177249	1:1	
1969	CAEEL04156	n:1	
55707	173638	n:1	1216854
6390	174482	1:1	1185569
8659	173510	1:1	950126
51154	174168	1:1	1172923
54896	3565323	1:1	
832	174673	1:1	892503
440574	173579	1:1	
255104	173798	1:1	788777
5320	182181	1:1	
163933	181347	1:1	
978	186044	1:1	
HUMAN47879	174268	1:1	1166516
57576	177141	1:1	962450
3339	175126	1:1	
54361	173399	1:1	
2046	CAEEL04156	n:1	
2048	CAEEL04156	n:1	
10236	173086	n:1	
6920	174450	n:1	
6135	178778	1:m	
6135	180535	1:m	1250489
57095	191290	1:1	1226188
11313	172587	n:1	
2582	173171	1:1	960966
3155	171738	n:1	
11123	175788	n:1	
HUMAN48121	173013	1:1	
25932	173314	n:m	
25932	175100	n:m	
25949	176003	1:1	1244267
55219	183963	1:1	
57134	172510	n:m	
57134	CAEEL15762	n:m	825577
5051	172120	n:m	812521
5051	180704	n:m	
7780	176715	n:m	
7780	188574	n:m	1188798
84676	259719	1:1	
51042	176624	1:1	
83442	260216	n:1	
79947	266904	1:1	1250597
6195	172647	n:1	962547
8289	3565337	n:1	
84243	173062	n:1	
54707	172267	1:1	1170248
63906	CAEEL15078	1:1	1187596
10726	176754	1:1	
115572	172187	n:1	
HUMAN48337	183811	1:m	
HUMAN48337	181680	1:m	
23038	3565128	1:1	
84065	173766	1:1	
9064	24104671	n:1	
199870	172335	n:1	970351
23673	172718	n:1	780108
6118	172092	1:1	
27293	191439	n:1	833912
55113	184190	1:1	
22826	171833	1:1	1143309
83667	171593	n:1	790624
54797	183844	1:1	
1104	174332	1:1	
51102	174963	1:1	
4146	176888	1:m	965914
4146	182693	1:m	
9672	CAEEL09100	1:1	
9410	172015	1:m	
9410	181319	1:m	961007
2170	172390	n:m	
2170	191701	n:m	
2170	188761	n:m	
64129	172827	1:1	748838
8073	180677	n:1	
55116	172060	n:1	
56063	3565720	1:1	
8668	171809	1:1	960899
3065	173074	n:1	
81629	182017	n:1	
HUMAN48682	183428	1:1	1228587
5928	172802	n:1	
204	176118	1:1	960832
113451	179079	n:1	
5690	171975	1:1	
192670	173468	n:m	
192670	181504	n:m	
26523	173468	n:m	
26523	181504	n:m	
192669	173468	n:m	
192669	181504	n:m	
27095	176344	n:1	1233017
2899	172449	n:1	
29889	172624	1:1	
79693	174981	1:1	
3633	CAEEL01891	n:1	
10946	174364	1:1	1194738
51118	175536	1:1	1151014
64121	178084	n:1	
8761	172920	1:m	
8761	181473	1:m	
10450	178487	1:1	962527
54802	175725	1:1	1248479
10487	266829	n:1	750958
5538	191744	1:1	1229703
10269	172820	1:1	745907
9132	180933	1:1	
1503	189267	n:1	1250885
79717	175394	1:1	1230275
10465	174394	1:1	961165
79078	3564855	1:1	
6513	178634	n:1	
HUMAN49284	173968	1:1	1233510
112950	174763	1:1	
81888	182258	1:1	
5792	174685	n:1	
1802	174649	1:1	
533	174272	1:1	1152268
55929	173310	1:1	
HUMAN49476	187397	1:1	1156583
79639	172424	1:m	
79639	188870	1:m	
79639	180870	1:m	
6202	177503	1:1	1239889
266675	6418643	n:m	948972
266675	176436	n:m	
266675	177975	n:m	
8891	174138	1:1	961159
114034	174866	1:1	
25974	3565644	1:1	414324
8438	172728	1:1	960989
7388	176772	n:1	
2166	177612	1:m	863331
2166	177613	1:m	
51727	174701	1:m	
51727	181464	1:m	961365
388630	181571	n:1	821443
84871	184043	1:1	
1996	174506	n:1	963131
22996	174046	n:1	
114883	172253	1:1	822028
51060	174863	1:1	761077
112970	3565931	1:1	1163389
91408	174090	n:1	
200014	CAEEL02747	n:1	
84950	179499	1:1	961457
65260	174784	1:1	962711
79699	174284	n:1	
440590	174284	n:1	909362
6342	174881	1:1	1233078
HUMAN49941	178025	1:1	918629
54987	179370	1:1	1243331
55110	173073	n:1	
7804	174116	n:1	
23648	174975	n:1	
7268	173946	1:1	923306
25973	173117	1:1	
HUMAN50069	186134	1:1	1196080
23358	174440	1:1	
8613	174071	1:1	
HUMAN50091	181727	n:1	961879
51361	24105291	1:1	
83941	176581	1:1	
85440	180988	n:1	779978
27329	181135	1:1	
29929	182392	1:1	676020
5236	173843	n:1	
4919	174473	n:1	1171700
54741	174028	n:1	
5142	174235	n:1	
23169	174145	1:1	859530
26135	173512	n:1	
55970	181424	n:1	1170167
79971	175020	1:1	1219416
6121	173733	n:m	
6121	189959	n:m	
9295	174862	1:1	
81573	173761	1:1	736416
1491	174155	1:m	940324
1491	180079	1:m	
9406	173655	1:1	
257194	181093	n:1	
HUMAN50412	CAEEL06702	n:1	
51086	CAEEL06702	n:1	964631
1429	173346	1:1	728731
34	173979	1:m	
34	24104866	1:m	
5876	175998	1:1	1234970
4438	174157	1:1	
10026	188131	1:1	673745
26289	181264	1:1	964274
8880	175989	n:m	
8880	179423	n:m	963808
8880	181773	n:m	
54810	175649	n:m	
54810	177865	n:m	
5567	3565407	n:1	
58511	176316	1:1	1213027
80135	174434	1:1	
255231	176074	n:1	
55283	176074	n:1	1244759
51100	180667	n:1	
9403	176999	1:1	1202518
9653	181309	n:1	
HUMAN50657	181309	n:1	
5586	CAEEL19700	n:1	
2959	178544	1:1	709382
56267	185086	1:m	
56267	181633	1:m	1144755
676	172054	n:1	965588
253152	175239	n:m	
253152	179444	n:m	
7813	3565805	n:1	967519
6125	174371	1:1	1181839
50999	178145	n:1	1237760
1810	191629	1:1	961089
54874	176812	n:m	
54874	180492	n:m	961581
2730	171998	1:1	
5825	174126	1:m	
5825	174127	1:m	961502
199857	187398	1:1	785387
58155	174647	n:1	
1806	180818	1:1	921730
163404	174710	n:1	
178	175091	1:1	943561
23443	173428	n:1	752030
23443	173428	n:1	
64645	188895	n:1	
54482	3565972	1:1	1180599
1629	174279	1:1	1246040
51611	174737	1:1	1230345
280	179813	n:1	
279	179813	n:1	
276	179813	n:1	874103
276	179813	n:1	
276	179813	n:1	
10451	181153	n:1	
29957	186276	n:m	
29957	181399	n:m	
29899	CAEEL18835	n:1	
22911	172355	1:1	1174358
6884	192052	1:1	670981
56900	177838	1:1	1177733
57535	178425	n:1	
6301	177859	1:1	1212410
1952	179788	n:1	966459
5686	172942	1:1	1218156
284612	177608	n:1	
2773	171675	n:1	
85369	174165	n:1	
3749	174331	n:m	
3749	191761	n:m	
3749	181269	n:m	
3737	174536	1:1	
128338	181626	n:1	
10390	179935	n:m	
10390	184847	n:m	
1117	187738	1:m	
1117	182431	1:m	
27159	180628	n:1	
515	175605	1:m	
515	180718	1:m	
5906	177709	n:1	
54879	178152	n:1	1241600
829	177497	n:1	
333926	183398	n:1	
9860	176849	n:1	
260425	178107	n:1	
10286	188435	1:1	1245046
HUMAN51449	173891	1:1	
4893	178104	n:1	
81839	180579	n:1	1180768
845	181563	n:1	
476	179796	n:1	707420
10905	172510	n:m	825573
10905	CAEEL15762	n:m	
54855	172187	n:1	900752
10885	174038	1:1	960913
10352	175719	1:1	1245452
3158	178956	n:1	
9554	180456	1:1	795662
653519	176650	n:m	
653519	182524	n:m	1220280
10623	172321	1:1	1244635
9939	175572	1:1	
84265	CAEEL00482	n:1	1216662
10628	185541	1:1	
148738	190602	n:1	
5565	176552	n:m	
5565	181492	n:m	920179
2330	176491	n:m	
2330	177954	n:m	
2330	177958	n:m	
2330	178596	n:m	
653519	176650	n:m	1220281
653519	182524	n:m	
644591	180027	1:1	
440672	259365	n:1	
440689	185332	n:m	
440689	185332	n:m	
440689	185332	n:m	
440689	186326	n:m	
440689	185332	n:m	
440689	185332	n:m	
440689	186326	n:m	
440689	186326	n:m	
440689	186326	n:m	
440689	191670	n:m	
440689	CAEEL14858	n:m	
440689	191670	n:m	
440689	191670	n:m	
440689	191670	n:m	
440689	191670	n:m	
440689	179340	n:m	
440689	191670	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	179339	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	177521	n:m	
723790	179339	n:m	
723790	177521	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
653604	186325	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8349	185332	n:m	
8349	185332	n:m	
8349	185332	n:m	
8349	186326	n:m	
8349	185332	n:m	
8349	185332	n:m	
8349	186326	n:m	
8349	186326	n:m	
8349	186326	n:m	
8349	191670	n:m	
8349	CAEEL14858	n:m	
8349	191670	n:m	
8349	191670	n:m	
8349	191670	n:m	
8349	191670	n:m	1176484
8349	179340	n:m	
8349	191670	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	177521	n:m	
8338	179339	n:m	
8338	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	177521	n:m	
317772	179339	n:m	
317772	177521	n:m	
51027	176890	1:1	
10262	4363023	1:1	961304
11311	180449	1:1	678909
81611	173372	n:m	
81611	CAEEL13946	n:m	
51107	172747	n:1	1232774
54460	185109	1:1	1162507
29956	177660	n:m	
29956	180743	n:m	
8394	172184	n:1	
5710	172977	1:1	
5298	180443	1:1	
8991	178360	1:1	1204170
5692	172674	1:1	
81609	172937	1:1	
2312	172266	1:1	
3713	54162170	1:1	
3608	179965	1:1	
4881	172051	n:1	
65123	3565441	1:1	839401
9909	186100	1:1	
27173	173376	1:1	961961
6232	178538	n:1	
91181	172348	n:1	881802
7170	173319	n:1	
89872	174467	n:m	
89872	180744	n:m	
57198	177256	n:1	780300
55585	172941	n:1	795606
10654	179508	1:1	
1163	177658	1:1	1239156
127579	353452	1:1	1234903
HUMAN52533	173340	n:1	
2629	177314	1:m	
2629	178535	1:m	
10067	171756	n:1	
57657	175527	1:1	
5313	172744	n:m	
5313	177984	n:m	
2224	173075	1:1	
7818	174631	1:1	
6746	177881	1:m	
6746	180422	1:m	795632
56893	172434	n:1	
28956	179177	1:1	
9673	172478	1:1	
7203	173581	1:1	847241
57127	179606	n:1	
128239	173294	n:1	
128240	CAEEL02565	1:1	
51093	172945	1:1	
79590	172204	1:1	
3645	175410	n:1	
9826	184419	n:1	
55243	180555	n:1	
93183	174736	1:1	1208120
477	179796	n:1	
844	181563	n:1	1231881
5824	176239	1:1	
1314	171860	1:1	960920
23385	172905	1:1	
57216	180579	n:1	
5202	173768	1:1	878543
4817	176628	1:1	
51506	176313	1:1	1248990
4720	188912	1:m	
4720	181646	1:m	1155005
84134	174431	n:1	
9970	188826	n:m	
9970	184926	n:m	
6391	260040	1:1	
11266	177903	1:1	
6675	175497	n:1	1225680
4921	180622	n:1	
83540	175813	1:1	
223	185679	1:m	
223	176056	1:m	950131
HUMAN53398	174352	1:1	1187482
7371	178160	n:1	
57645	CAEEL13352	1:1	
25874	171957	1:1	1199435
261726	176106	1:1	
375035	3565210	n:1	1243460
10560	179544	n:1	
22920	CAEEL08054	1:1	1229684
2328	176491	n:m	
2328	177954	n:m	1217206
2328	177958	n:m	
2328	178596	n:m	
2327	176491	n:m	
2327	177954	n:m	
2327	177958	n:m	
2327	178596	n:m	
2329	176491	n:m	
2329	177954	n:m	
2329	177958	n:m	
2329	178596	n:m	
51603	177431	1:1	1202251
26052	181644	n:1	
5279	177765	1:1	1138319
9588	176837	1:1	961210
27252	172012	1:1	964261
55157	3565124	1:1	1184758
9910	180444	n:1	
6646	181681	n:1	1194483
5768	178168	n:m	1233574
5768	180538	n:m	
5768	180664	n:m	
84320	176800	1:1	961834
9213	CAEEL08837	1:1	1228426
777	CAEEL18425	n:1	
2752	178452	1:1	1156277
1660	174417	1:1	1225087
3915	180980	n:1	
10092	171882	n:m	
10092	183522	n:m	
23179	180611	1:1	
23127	3565069	n:1	
80267	181210	1:1	825578
10625	181410	1:1	
83872	CAEEL19587	1:1	
54953	175950	1:1	
5132	190455	n:1	
5996	190409	1:m	
5996	190409	1:m	
HUMAN53934	175413	n:1	
5997	180645	1:1	
51377	174289	1:1	1220439
6738	179425	1:1	929865
79577	177160	1:1	796011
343450	181332	n:1	
56956	180672	1:m	
56956	181357	1:m	969235
140609	181398	1:1	
23046	178057	n:1	
779	177513	n:1	
7139	178679	1:m	963900
7139	180914	1:m	
7139	181119	1:m	
10440	177242	n:1	
127829	178405	n:1	
4660	174484	n:1	968136
5877	3565809	1:1	
51094	177416	n:1	822402
HUMAN54233	181255	n:1	
1116	187735	1:1	
1118	180628	n:1	963436
493	177004	n:m	
493	177089	n:m	
6635	176668	1:1	1247510
55224	188971	n:1	1151645
127845	173819	n:1	1235580
10446	184720	1:1	
23114	177078	n:1	
5929	174019	1:1	813997
9911	182643	n:1	
254428	177623	1:1	
1510	180947	1:1	
553	188227	n:1	
23380	178079	n:1	
1939	173964	1:1	1176886
5208	172147	n:m	820499
5208	177363	n:m	
722	188252	n:1	
1380	185381	1:1	
1379	188252	n:1	
5362	246019	n:1	1181710
55733	190374	1:1	
3756	178624	n:1	962383
7779	CAEEL19043	1:1	
9926	CAEEL15073	1:1	
25896	174777	1:1	701042
5525	180100	n:1	795858
128387	181990	1:1	1200256
28982	172203	n:1	
56950	180772	1:1	
3776	192071	1:1	
51133	179226	n:1	
10380	173777	1:1	1227840
55699	CAEEL01989	1:1	1146507
25782	172574	1:1	
4139	179912	1:1	965125
54996	176883	n:m	
54996	178729	n:m	
54996	180078	n:m	889125
64757	176883	n:m	
64757	178729	n:m	889126
64757	180078	n:m	
HUMAN54803	176883	n:m	889129
HUMAN54803	178729	n:m	
HUMAN54803	180078	n:m	
148362	179255	1:1	1207510
388743	175326	n:m	
388743	190738	n:m	
8560	173327	n:1	
4931	174974	1:1	961188
80232	178791	1:1	
3930	181886	n:1	
6726	176293	1:1	1177082
2052	179036	1:1	
29920	CAEEL20013	n:1	
163859	179852	1:1	
3021	181057	n:1	
64746	178416	1:1	1181287
286826	176256	1:1	
142	266823	1:1	
5664	180441	n:1	
5664	180441	n:1	
8476	179013	n:1	967362
HUMAN55028	259530	1:1	
128308	176873	1:1	1204614
2987	171963	1:1	1195768
200205	172668	1:1	
84033	171990	1:1	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	1236964
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	177521	n:m	
92815	179339	n:m	
92815	177521	n:m	
58480	184848	1:1	
5867	184331	1:1	
23456	178522	1:m	
23456	180056	1:m	960891
2590	180302	1:1	
22796	177473	1:1	
10753	175326	n:m	
10753	190738	n:m	
64801	187628	1:1	
440730	178619	n:1	
149371	173320	1:1	1214500
3775	180252	1:1	
148641	177408	n:1	
9804	179691	1:1	
6905	177624	n:1	
6905	177624	n:1	1243604
4811	179770	n:1	
56605	173325	n:1	
88	179709	n:1	
4548	174681	1:1	1141712
6262	CAEEL14390	n:1	
1131	179962	n:1	
6000	179707	n:1	
2271	176059	1:1	1248840
8564	179657	1:1	663175
1122	175311	n:1	1209937
441925	177345	n:1	
200150	174179	1:1	
10000	181524	1:1	
159	178872	n:1	
51097	184861	1:m	
51097	178692	1:m	
79862	184388	1:1	
26246	183703	1:1	
128637	175139	1:1	
1457	172978	1:1	
113278	3896860	1:m	
113278	178842	1:m	1183048
642636	173808	n:m	
642636	CAEEL19208	n:m	
6628	172494	1:m	
6628	172495	1:m	
10528	179442	1:1	1150855
3420	181528	1:1	1217812
64601	175913	1:1	
3704	175724	1:1	1238393
83959	174024	1:1	910958
8455	CAEEL20456	n:1	965944
54498	CAEEL17996	1:1	
9962	187811	n:m	
9962	177296	n:m	
9962	188241	n:m	
9962	188243	n:m	
9962	183708	n:m	1215726
5111	177161	1:1	1225807
8760	3565046	n:1	
56261	174296	1:1	
1114	179910	1:1	
51605	259389	1:1	
55612	179972	n:1	
54363	179241	1:1	1184971
5332	178537	1:1	
57144	179527	n:1	
6616	179427	n:1	
55304	266646	n:1	
79133	175064	1:1	887599
5126	179412	1:1	962186
10621	172081	1:1	721369
10483	180317	n:1	
HUMAN56244	188555	n:1	1193842
92675	188555	n:1	
51126	190814	1:1	1231553
51340	178979	1:1	960905
22803	175071	1:1	1186726
29107	171866	n:1	
63908	179193	n:1	1217933
57136	175112	1:m	961748
57136	178141	1:m	
57136	182407	1:m	
955	179395	n:1	
5834	178777	n:1	1154947
26090	179172	n:1	
9837	187885	1:1	
100101490	177377	n:1	
84701	173237	n:1	
HUMAN56445	3564837	1:1	671600
9777	172739	1:1	698601
23509	180607	1:1	1210387
22919	3565059	n:1	965709
51654	175841	1:1	1188687
11264	184650	1:1	1204711
128866	174091	n:m	
128866	CAEEL14681	n:m	
191	172408	1:1	953976
83658	188872	n:1	
84557	177989	n:1	770267
128869	172565	1:1	961034
55902	175500	1:1	960845
2937	174493	1:1	875063
57644	172471	n:m	
57644	259839	n:m	
57644	179190	n:m	
57644	179676	n:m	963876
57644	181404	n:m	
3692	173169	1:1	1224948
51614	181652	1:1	889780
10137	172878	1:1	
9054	172979	1:1	1181030
140823	174968	1:1	1179445
9584	176922	n:1	961162
25980	184284	1:1	839543
10398	175440	n:1	
55969	185741	1:1	1159772
5933	172249	n:1	
6714	171722	n:1	
10904	171724	1:1	1185165
56259	172214	1:1	1208191
58490	176162	n:1	
HUMAN56959	259726	1:1	
3929	177907	1:1	
57148	3564922	1:1	
140679	176431	1:1	961657
60625	175308	1:1	1225072
7150	266847	n:1	961101
64900	179853	n:1	
6431	174748	n:1	
51098	179631	1:1	1233783
128486	3565961	1:1	1235967
140902	191308	1:1	
3172	171884	n:m	
3172	172840	n:m	
10955	179093	n:m	
10955	179964	n:m	1246184
7529	178113	n:m	
7529	181348	n:m	
6789	180708	n:1	
90196	171969	1:1	926503
51604	179519	1:1	
116092	176303	1:1	929419
10005	178878	1:m	1232029
10005	180429	1:m	
5476	173818	1:m	
5476	174057	1:m	
51006	171918	1:1	
63916	172890	n:1	
55713	172281	n:1	
64849	187898	n:m	
64849	176429	n:m	
64849	181585	n:m	
112858	13192290	1:1	1222170
55959	180619	1:1	
10564	173231	n:1	
1434	171621	1:1	1221310
HUMAN57445	171743	1:1	
9334	174754	1:1	
23315	189474	1:1	961233
7335	173347	n:1	1216069
387521	173080	1:1	
5770	189901	1:1	
84612	173137	n:1	
8813	176874	1:1	775149
27304	177607	1:1	784008
10079	172748	n:m	
10079	178754	n:m	
5203	178045	1:1	
1477	174378	1:1	961398
51507	173206	1:1	1241683
23626	191771	1:1	1217037
8480	172864	1:1	1221796
8675	175712	n:1	780104
HUMAN57669	175712	n:1	
79716	176185	1:1	
2778	171687	n:1	
1522	171829	1:1	
51012	173040	n:1	952786
149986	173158	n:1	
5688	172679	n:1	1218162
26164	173192	1:1	1204229
9885	180003	1:1	
11047	3565888	1:1	1241450
3911	177956	1:1	
6227	176011	1:1	1251310
28231	190573	n:m	967587
28231	180528	n:m	
63910	175106	1:1	961187
1917	175975	1:m	
1917	175975	1:m	
HUMAN57939	172946	1:1	901418
10139	171878	1:1	
84619	177568	n:1	761977
HUMAN57955	177568	n:1	
54963	178181	1:1	811898
24148	180180	1:1	960912
6919	174450	n:1	962012
102724159	172224	n:1	
102724652	176471	n:m	
102724652	178660	n:m	
102724652	179287	n:m	
102724652	179287	n:m	
6782	174368	1:1	
4685	180418	n:1	
351	180783	n:1	
9510	180675	n:1	
29104	173575	1:1	
10694	176928	1:1	847240
2897	174258	n:1	
337972	178804	n:1	
337975	13215861	1:1	
728299	178804	n:1	
6647	173776	1:m	
6647	174141	1:m	
57466	172064	1:1	963273
8867	178284	n:1	
94104	172662	n:1	
757	171806	1:1	802117
