Mouse	Human	type	OMAGroup
15488	3295	1:1	728733
225497	340069	1:1	415668
67365	8226	1:1	955144
71373	51334	1:1	1212861
67222	153443	1:1	962462
16948	4015	1:1	963283
66758	133923	1:1	721278
78414	100505841	1:1	1150603
67847	9627	1:1	342999
67804	6643	1:1	961261
69226	28966	1:1	1212753
19038	5480	1:1	961933
225518	93166	1:1	963351
21413	HUMAN38605	1:1	1209071
381175	80323	1:1	1231170
80718	5874	1:1	965758
102640106	HUMAN38597	1:1	
269033	162681	1:1	1227078
170461	147323	1:1	675524
26447	11201	1:1	1244447
17191	8932	1:1	1215430
13176	1630	1:1	1079301
240396	51320	1:1	1227217
17128	4089	1:1	1236063
114615	55520	1:1	1200184
107029	4200	1:1	1172724
71263	83876	1:1	1161758
225724	5596	1:1	968123
66468	220134	1:1	720518
74322	30827	1:1	1242051
17190	4152	1:1	939946
74453	220136	1:1	962526
17919	4645	1:1	972952
52538	10449	1:1	1233079
16891	9388	1:1	968509
319195	6139	1:m	1208826
319195	6139	1:m	
407819	497661	1:1	916492
69190	54808	1:1	
17131	4092	1:1	415713
269037	9811	1:1	344649
207259	201501	1:1	965678
17126	4087	1:1	1214267
664805	652991	1:1	970190
66191	51124	1:m	1233389
66191	51124	1:m	
76987	84064	1:1	1211392
71206	83473	1:1	962430
17344	9063	1:1	966038
225742	29906	1:1	673191
MOUSE24425	125336	1:1	719288
225743	494470	1:1	
100502841	57724	1:1	697471
620235	284266	1:1	1154876
MOUSE24431	HUMAN38271	1:1	861021
27411	8170	1:1	409983
240427	26040	1:1	1158168
93737	84552	1:1	1238536
240442	22850	1:1	1193453
68731	79863	1:1	782212
27366	10907	1:1	1164013
66255	440498	1:1	719148
66943	80148	1:1	1190459
240444	26251	1:1	965930
67655	9150	1:1	714954
75415	94134	1:1	965846
18018	4772	1:1	1241065
50771	374868	1:1	780294
20689	27164	1:1	963241
14427	2587	1:1	964196
17196	4155	1:1	943263
329002	7776	1:1	965764
329003	9658	1:1	1179992
110796	10194	1:1	1196347
225791	284273	1:1	728778
240476	55628	1:1	1179634
338403	84735	1:1	1210589
66054	55748	1:1	1210579
240479	125704	1:1	1232520
MOUSE24538	644041	1:1	888062
109672	1528	1:1	966332
50764	201456	1:1	1216592
67105	29090	1:1	698731
246317	81832	1:1	965972
12405	147381	1:1	962315
12116	635	n:1	
54607	9306	1:1	345520
246102	25914	1:1	1172845
225825	10666	1:1	1185512
623279	220164	1:1	1179306
67988	54495	1:1	962087
225182	5932	1:1	1153413
63955	91768	1:1	698829
338363	85019	1:1	859586
66878	8780	1:1	1242287
76482	29919	1:1	1221289
18145	4864	1:1	1151120
225187	147463	1:1	961929
72747	125488	1:1	919906
64291	114876	1:1	822027
16210	HUMAN37927	1:1	1174343
225192	59340	1:1	969928
225207	25925	1:1	965516
268996	6760	1:1	964308
73677	143471	1:1	1218163
72504	6875	1:1	965242
11829	361	1:1	1148911
212163	147339	1:1	1189649
225745	115106	1:1	697387
11946	498	1:1	1198486
19201	9050	1:1	965191
12916	HUMAN00849	1:1	1237516
71745	HUMAN00836	1:1	1214899
68010	25805	1:1	1219304
67328	84569	1:m	943681
67328	119180	1:m	
26410	1326	1:1	1145653
67440	55149	1:1	696328
240185	57608	1:1	1211795
225115	6840	1:1	962834
240186	220929	1:1	1180752
21417	6935	1:1	965983
16573	3799	1:1	961095
13831	80314	1:1	906296
19330	22931	1:1	961467
210719	283078	1:1	905455
74934	55130	1:1	965050
75739	143098	1:1	
225131	51322	1:1	962122
14370	8325	1:1	900331
225152	219770	1:1	
67974	219771	1:1	714399
26369	1068	1:1	963621
140792	81035	1:1	966261
225160	HUMAN37392	1:1	959790
59025	9097	1:1	961038
19877	6093	1:1	970335
381157	80000	1:1	409993
20641	6632	1:1	1214553
106861	171586	1:1	909127
225164	57534	1:1	968022
14465	2627	1:1	677635
16601	687	1:1	973991
226243	3026	1:1	971266
12460	9973	1:1	1148127
399599	55231	1:1	1163937
56464	8722	1:1	748829
11474	89	1:1	974463
226026	23137	1:1	960947
70605	254359	1:1	962303
71738	256691	1:1	
67483	138255	1:1	1177144
72351	375743	1:1	1161516
52028	HUMAN07406	1:m	
52028	582	1:m	871385
319924	320	1:1	1214450
381217	9413	1:1	1197131
75221	HUMAN07399	1:1	1133922
21873	HUMAN97186	1:m	
21873	HUMAN97199	1:m	1195789
240518	246330	1:1	1173227
14297	2395	1:1	830525
66419	65003	1:1	1189787
225872	266743	1:1	936639
18719	8395	1:1	719793
68034	116224	1:1	1190596
226040	169693	1:1	1237650
226041	5239	1:1	1189059
13063	54205	n:1	
14237	200350	1:m	
14237	2298	1:m	
14237	653404	1:m	348974
14237	653427	1:m	
14237	349334	1:m	
14237	286380	1:m	
18175	4892	1:1	342001
13340	3177	1:1	673900
108902	11041	n:1	1205036
226043	150472	1:m	
226043	55871	1:m	
226043	220869	1:m	
226043	220869	1:m	
226043	220869	1:m	1198982
108902	11041	n:1	
12369	840	1:1	923421
107392	25855	1:1	965082
76088	81704	1:1	779984
225870	9610	1:1	896235
70445	57124	1:1	966403
381199	256472	1:1	
107351	23189	1:1	1178764
226245	79949	1:1	1172293
50796	1761	1:1	1233298
240590	58524	1:1	1134626
55947	9937	1:1	1234567
226049	10655	1:1	1209102
68090	10897	1:1	714872
66866	374354	1:1	961813
11554	153	1:1	969399
12794	254263	1:1	1169417
213993	55088	1:1	962650
76308	81876	1:1	962670
16594	64837	1:1	965179
107975	55690	1:1	1207017
319322	10992	1:1	961691
545276	89792	1:1	675455
225865	117144	1:1	976134
73720	1474	1:1	1169297
83561	56165	1:1	1211063
23825	8815	1:1	1137640
69860	84285	1:1	770709
240675	340706	1:1	1079467
20227	9092	1:1	1197833
MOUSE25009	254187	1:1	1156197
66556	10589	1:1	965924
107242	83638	1:1	708948
14283	8061	1:1	1167541
240514	11007	1:1	360180
MOUSE25024	84632	1:1	1163799
58249	9158	1:1	1203527
13041	1521	1:1	748842
58859	30008	1:1	968729
71711	80198	1:1	1198339
12631	1072	1:1	927480
225861	254122	1:1	1079075
75555	56160	n:1	
18426	5017	1:1	964386
381201	91056	1:1	1176451
68209	84153	1:1	788749
67155	6595	1:1	961214
81601	10524	1:1	721044
19697	5970	1:1	888068
22359	7436	1:1	963782
240595	169522	1:1	963461
52874	9933	1:1	670643
19726	5991	1:1	936527
226252	57700	1:1	1227154
226075	169792	1:1	1192474
72133	142940	1:1	1244219
20469	6494	1:1	1162650
20510	6505	1:1	1242528
226255	26033	1:1	1079299
381218	55064	1:1	1186823
74411	403313	1:1	708110
14585	2674	1:1	1140833
75645	374355	1:1	959884
69060	5406	1:1	965628
67072	55664	1:1	1211718
18946	5407	1:1	966086
104401	399909	1:1	1160059
18947	HUMAN03084	1:1	969524
56248	50808	1:1	961307
67507	143379	1:1	1156210
59028	10171	1:1	1185253
26403	4296	1:1	969421
16530	10089	1:1	675591
73442	259217	1:1	769988
226265	387712	1:1	1250157
16452	3717	1:1	965372
27356	11172	1:1	418972
19773	6019	1:m	418973
19773	6013	1:m	
71653	57698	1:1	1232911
22326	11023	1:1	1194346
332396	338567	1:1	675576
67759	55848	1:1	718424
214084	6571	1:1	961801
60533	29126	1:1	964200
107368	118987	1:1	1240892
13797	2018	1:1	969114
58205	80380	1:1	964135
74998	22841	1:1	961953
76539	63877	1:1	1174529
226278	2834	1:1	979911
114601	254102	1:1	1154855
17826	23625	1:1	1171507
56390	10534	n:1	925519
226089	57589	1:1	1173293
56390	10534	n:1	
78832	143384	1:1	1243294
332397	340719	1:1	1136562
13669	8661	1:1	961001
226090	79956	1:1	1148209
77836	2315	1:1	1161809
16998	4054	1:1	980135
67894	404636	1:1	813967
240613	158358	1:1	968833
240614	26953	1:1	1247121
94281	119559	1:1	1204111
11757	10935	1:1	961136
77125	90865	1:1	958250
14773	2869	1:1	962225
109113	115426	1:1	809804
78891	57410	1:1	1242666
12982	1438	1:1	1200106
104174	2731	1:1	783722
17195	4153	1:1	966436
13380	22943	1:1	1214741
19091	5592	1:1	963507
83410	23283	1:1	970236
69865	29974	1:1	966473
54447	56624	1:1	692158
208449	259230	1:1	673828
MOUSE25356	6133	n:1	
17330	9562	1:1	1194200
23972	9060	1:1	1212194
67979	84896	1:1	961435
19211	5728	1:1	752267
MOUSE25369	55328	1:1	1193935
67717	8513	1:1	1149513
240633	643414	1:1	1149519
70166	643418	1:1	1149517
78753	340654	1:1	1149518
52024	118932	1:1	362099
76630	57559	1:1	1227034
11475	59	1:1	767171
14102	355	1:1	963299
12642	9023	1:1	785955
16889	3988	1:1	1149512
15958	3433	1:1	960729
15959	3437	n:1	
667373	439996	n:m	
667373	3434	n:m	960735
667370	3437	n:1	960732
112419	439996	n:m	
112419	3434	n:m	
15957	439996	n:m	960733
15957	3434	n:m	
170458	170589	1:1	1138437
240638	387700	1:1	961426
225849	5526	1:1	795860
75735	53354	1:1	901384
329015	23130	1:1	1189013
13660	10938	1:1	
240505	55561	1:1	968463
240641	9585	1:1	962233
15566	3363	1:1	
54364	10556	1:1	1219099
107765	27063	1:1	966278
MOUSE25439	4221	1:1	1145318
76073	84333	1:1	
20589	3508	1:1	691038
353242	219927	1:1	1208763
12894	1374	1:1	918631
226098	143279	1:1	698930
53412	5507	1:1	771331
17771	9633	1:1	1180754
14419	51083	1:1	1179980
74493	80351	1:1	968375
72514	143282	1:1	1222923
26412	5871	1:1	968907
107182	9044	1:1	924410
52036	55291	1:1	736451
16973	4041	1:1	969567
72056	53838	1:1	966922
22668	7536	1:1	961554
19309	5837	1:1	1154950
107371	54536	1:1	1196437
546726	340665	1:1	930627
13082	1592	1:1	930630
19395	10235	1:1	809348
225888	51111	1:1	1172504
18190	9379	1:1	966128
226101	26509	1:1	1175419
20521	116085	1:1	967934
74107	55165	1:1	
107221	338557	1:1	1209230
19662	5950	1:1	420091
110855	5146	1:1	697808
70567	118924	1:1	896115
56839	9211	1:1	1185378
240660	159371	1:1	859532
MOUSE25598	51196	1:1	1219975
57753	64318	1:1	1241378
209478	23232	1:1	965994
15201	3070	1:1	961578
72303	1562	n:m	
72303	HUMAN02245	n:m	
72303	1557	n:m	
72303	1559	n:m	
69888	1562	n:m	
69888	HUMAN02245	n:m	
69888	1557	n:m	
69888	1559	n:m	
13097	1562	n:m	
13097	HUMAN02245	n:m	
13097	1557	n:m	
13097	1559	n:m	
107227	28992	1:1	965410
396184	23769	1:1	977541
13096	1562	n:m	
13096	HUMAN02245	n:m	
13096	1557	n:m	
13096	1559	n:m	
107260	HUMAN06791	1:1	1175152
12868	1351	1:1	865098
107141	1562	n:m	
107141	HUMAN02245	n:m	
107141	1557	n:m	
107141	1559	n:m	
70999	79829	1:1	928459
54132	9124	1:1	1208719
104383	283248	1:1	1143821
MOUSE25650	10580	1:1	1196182
13728	2011	1:1	970393
68229	144097	1:1	1170377
11854	29984	1:1	966707
108899	65998	1:1	1196406
171180	91683	1:1	970607
69861	254439	1:1	1166456
56454	5832	1:1	1248719
20168	10313	1:1	750704
67590	26123	1:1	808893
225875	78999	1:1	967460
12495	953	1:1	861597
MOUSE25717	387707	1:1	718610
19671	9986	1:1	709748
240665	54619	1:1	673323
109168	25923	1:1	968475
72672	9849	1:1	1173886
MOUSE25738	79703	1:1	1209858
225845	11145	1:1	735053
17060	29760	1:1	965950
102902673	100526737	n:1	354639
56072	HUMAN06734	1:1	1215966
21673	1791	1:1	895576
226115	93377	1:1	926723
MOUSE25759	117245	1:1	1148028
207151	387775	n:m	
207151	387601	n:m	
207151	114571	n:m	
24087	7093	1:1	969120
236149	387775	n:m	
236149	387601	n:m	
236149	114571	n:m	
107358	56889	1:1	698602
171405	387775	n:m	
171405	387601	n:m	985859
171405	114571	n:m	
434674	387775	n:m	978610
434674	387601	n:m	
434674	114571	n:m	
83490	118788	1:1	1190564
236293	387775	n:m	
236293	387601	n:m	
236293	114571	n:m	
212391	84458	1:1	1216434
319800	387775	n:m	
319800	387601	n:m	
319800	114571	n:m	
19879	9376	1:1	963735
18399	9356	1:1	963376
12669	1128	1:1	964589
17254	HUMAN06694	1:1	874090
20562	6585	1:1	1182858
107071	54663	1:1	1173412
71085	HUMAN02364	1:m	
71085	84986	1:m	963048
74307	111216277	1:1	835396
14296	10023	n:m	1141598
14296	23401	n:m	
212398	10023	n:m	
212398	23401	n:m	1141597
107094	23223	1:1	719374
18648	5223	1:1	820498
66583	51013	1:1	1163053
74168	84287	1:1	962705
56389	6811	1:1	1210517
53319	10482	1:1	751964
66836	79064	1:1	958628
67706	374395	1:1	1183306
225895	10629	1:1	1212375
67710	5436	1:1	1212642
75291	HUMAN06643	1:1	1195409
70387	283237	1:1	964357
68693	HUMAN06615	1:m	
68693	221092	1:m	1208601
14704	2785	1:1	341713
14705	26580	1:1	1203458
68852	221091	1:1	909643
225896	51035	1:1	1218495
107197	790955	1:1	1224343
72199	64210	1:1	950828
102308570	79081	n:1	862189
MOUSE25876	79081	n:1	
226122	80019	1:1	1210901
66276	HUMAN06596	n:m	
66276	102288414	n:m	
MOUSE25880	HUMAN06596	n:m	1176212
MOUSE25880	102288414	n:m	
109077	80789	1:1	1210992
MOUSE25883	HUMAN02414	1:1	962921
67432	112817	1:1	1228898
66765	414157	1:1	904420
226123	118812	1:1	963399
84095	HUMAN02419	1:1	
69534	60370	1:1	1142700
277010	83742	1:1	1139351
319740	118813	1:1	1175274
14376	23193	1:1	807290
54612	6425	1:1	1186800
72727	26229	1:1	
71146	401647	1:1	
19881	6094	1:1	351431
225898	256364	1:1	970583
72832	55118	1:1	963343
52013	27291	1:1	936770
23942	9219	1:1	1191717
70044	HUMAN06558	1:1	1242038
67573	84171	1:1	969016
67160	1937	1:1	856062
66395	79026	1:1	968978
22287	7356	1:1	412108
66514	80150	1:1	1218430
74580	84795	1:1	1209908
102639117	4246	1:m	
102639117	4250	1:m	
16319	3619	1:1	965935
14319	2495	1:1	
24115	7439	1:1	
192236	3257	1:1	1236390
545291	60495	1:1	710898
74760	HUMAN06511	1:1	1153540
83674	26507	1:1	708584
14718	2805	1:1	1175571
18089	159296	1:1	1234286
246696	81894	1:1	917333
60527	3995	1:1	693202
93685	57089	1:1	861598
56473	9415	1:1	693196
226139	1355	1:1	1241986
76267	3992	1:1	693197
66388	51076	1:1	898680
14156	2237	1:1	1249877
69038	746	1:1	802332
12780	1244	1:1	961749
225908	745	1:1	1236942
93721	1369	1:1	758595
269060	747	1:1	714937
226144	10613	1:1	1230335
12675	1147	1:1	1193914
72502	55280	1:1	961016
54525	9066	1:1	
278795	390205	1:1	
73689	282991	1:1	714900
329064	9033	1:1	964842
30049	6319	n:1	879881
67752	220004	1:1	1208982
20250	6319	n:1	
66072	HUMAN06433	1:m	1228294
66072	54949	1:m	
MOUSE26050	7479	1:1	831197
269061	79869	1:1	963589
240667	25956	1:1	1210947
68642	51259	1:1	909326
67264	4714	1:m	
67264	4714	1:m	1235772
72982	51524	1:1	1190304
319594	55662	1:1	907319
18504	5076	1:1	1215289
225912	220002	1:1	920055
226151	55719	1:1	1193565
225913	26007	1:1	1211840
26456	57715	1:1	1219192
94067	84545	1:1	1242109
226153	56652	1:1	889697
13194	1642	1:1	670849
226154	84445	1:1	965452
71768	220001	1:1	968267
107305	55048	1:1	1233899
100503041	79955	1:1	814866
12507	921	1:1	1156198
94280	81855	1:1	1204109
107250	81621	1:1	1160961
21908	3195	1:1	964070
16814	10660	1:1	963408
12511	923	1:1	966575
65221	51296	1:1	961945
98170	54972	1:1	1228325
68539	79073	1:1	1224485
12234	8945	1:1	961441
56626	27343	1:1	895573
226162	25911	1:1	1211166
28000	27339	1:1	960987
22786	22917	1:1	970644
MOUSE26171	6468	1:1	1151769
14764	11251	1:1	959319
108673	79080	1:1	969481
69826	341116	1:1	1142677
545279	219995	1:1	723957
76002	HUMAN06320	1:1	912366
14179	2253	1:1	911340
64381	83661	1:1	723958
18150	10360	1:1	965946
73466	503497	1:1	
381213	54860	1:1	356327
12482	931	1:1	1142663
76055	10724	1:1	665560
269063	64232	1:1	723960
109225	58475	1:1	1167045
666907	51338	n:m	723959
666907	HUMAN06270	n:m	
64380	51338	n:m	
64380	HUMAN06270	n:m	
60361	51338	n:m	
60361	HUMAN06270	n:m	723966
73656	64231	n:1	
69774	64231	n:1	
68774	64231	n:1	1160535
14126	2206	1:1	1164814
170813	932	1:1	1163656
225922	219990	1:1	944310
170834	112577461	1:1	
14603	2694	1:1	1197661
94063	54948	1:1	1224371
80906	30819	1:1	962230
71617	79591	1:1	1205241
20170	79803	1:1	1179091
20908	HUMAN06225	1:1	780111
258405	390201	1:1	353781
225929	219988	1:1	1190347
76303	5007	1:1	822011
258675	219986	1:1	983125
258676	390197	n:1	
258155	390197	n:1	973921
258805	390197	n:1	
258673	219983	1:1	353847
258677	219982	1:1	353030
MOUSE26305	8861	1:1	972489
258683	390195	n:1	
258680	390195	n:1	
258682	390195	n:1	
258117	390195	n:1	352862
MOUSE26322	219981	1:1	352260
MOUSE26332	219972	1:1	1164277
207521	23220	1:1	808816
226169	23082	1:1	967183
107373	63901	1:1	1157018
107146	10249	1:1	
12803	1270	1:1	1172286
MOUSE26359	80829	n:m	
MOUSE26359	HUMAN06162	n:m	1081549
109910	80829	n:m	963690
109910	HUMAN06162	n:m	
70769	9221	1:1	962259
12686	83401	1:1	802646
107321	9404	1:1	963770
18742	5309	1:1	939454
258697	219968	1:1	353130
258694	390191	n:1	
258696	390191	n:1	982013
258700	390190	1:1	353328
MOUSE26418	441608	n:1	
258690	441608	n:1	
107338	8729	1:1	697148
258098	81341	n:1	353884
258342	219960	n:1	
MOUSE26468	81341	n:1	
258992	219960	n:1	353041
258991	HUMAN06144	1:m	
258991	219959	1:m	353017
258736	219957	1:1	353662
258097	219956	1:1	353604
258793	219954	n:1	
258151	219954	n:1	353397
18034	4791	1:1	1241914
MOUSE26503	7091	1:1	963552
107272	29968	1:1	1235608
208518	84131	1:1	1201975
73728	5662	1:1	699116
14682	2776	1:1	1245106
68431	79176	1:1	963611
14675	9630	1:1	1245111
67116	79004	1:1	
75146	79847	1:1	964720
MOUSE26537	79946	1:1	415891
54130	10121	1:1	767174
271564	23230	1:1	697499
14240	442425	1:1	1145667
353211	158471	1:1	969152
24069	51684	1:1	1227374
93679	HUMAN02765	1:1	965433
14537	2650	1:1	666339
54391	55312	1:1	807791
56350	403	1:1	953183
94279	118980	1:1	1204108
226178	54838	1:1	1225577
18552	5125	1:1	970146
13074	1586	1:1	930622
66439	119032	1:m	1234404
66439	119032	1:m	
57344	57412	1:1	661136
20409	26578	1:1	965102
94219	54805	1:1	708581
225994	54981	1:1	928387
67383	138199	1:1	1244887
225995	55071	1:1	851004
225997	140803	1:1	857998
225998	6096	1:1	928560
76952	22978	1:1	1175934
226180	9118	1:1	966668
71041	84108	1:1	761497
226182	6877	1:1	960976
66477	84833	1:1	1213109
18572	22984	1:1	961105
72691	51063	1:1	1237341
546729	255022	1:1	1167630
MOUSE26620	119395	1:1	1237342
16952	301	1:1	675260
18011	9148	1:1	1231957
11668	216	1:1	
13409	117531	1:1	1207592
14218	9644	1:1	970021
22682	7763	1:1	680352
108689	79991	1:1	1187635
14544	9615	1:1	1209158
66206	138241	1:1	
226016	51104	1:1	955167
20874	9748	1:1	962048
83921	23670	1:1	668881
12821	1308	1:1	965312
67788	119392	1:1	
100048534	80217	1:1	834569
14873	9446	1:1	856063
68214	119391	1:1	856085
414801	85450	1:1	414072
381229	159686	1:1	961851
66673	22986	1:1	1219999
MOUSE26689	114815	1:1	1219996
16333	3630	n:1	
170750	7511	1:1	1249422
27360	120	1:1	1208997
17859	4601	1:1	1228525
76479	10285	1:1	1240072
240672	1847	1:1	1168460
68051	10204	n:1	1135633
13006	9126	1:1	960930
73713	282996	1:1	1169118
18569	27250	1:1	1236724
226025	80036	1:1	857999
100503572	92482	1:1	1210866
56392	8036	1:1	962616
11551	150	1:1	963750
14732	57678	1:1	667565
21684	6975	1:1	1186412
433256	51703	1:1	961547
66980	64429	1:1	965187
53611	143187	1:1	839249
21416	6934	1:1	965073
12660	1119	1:1	1151643
27060	10312	1:1	1180678
225887	4728	1:1	
67689	221	1:1	950154
MOUSE26826	81622	1:1	834083
73458	222	1:1	950200
71670	91703	1:1	930056
109575	347853	1:1	953789
66387	254552	n:1	948799
66387	254552	n:1	
17995	4723	1:1	1154975
14870	2950	n:1	856117
14869	2950	n:1	
29866	HUMAN07609	1:1	965150
52004	10263	1:1	1229259
18739	9600	1:1	1189741
11632	9049	1:1	967328
MOUSE26879	80194	1:1	1198735
73660	57010	1:1	967997
269053	390212	1:1	1176058
23789	57175	1:1	964530
19265	5790	1:1	965174
58988	6199	1:1	962968
107239	HUMAN07567	1:1	342927
108995	374403	1:1	967562
19045	5499	1:1	
19367	5883	1:1	1172244
56708	23529	1:1	1231742
MOUSE26921	57804	n:m	
MOUSE26921	HUMAN07554	n:m	720491
69745	57804	n:m	720486
69745	HUMAN07554	n:m	
245857	54961	1:1	1227580
68423	338692	1:1	736418
110355	156	1:1	968237
225876	22992	1:1	1211198
67457	83786	1:1	963598
107375	283130	1:1	917357
332359	220359	1:1	750999
19708	5977	1:1	1241699
104252	10435	1:1	815061
18969	23649	1:m	1244663
18969	HUMAN07121	1:m	
12333	823	1:1	719407
74126	84447	1:1	1220728
18120	740	1:1	881838
14109	2197	1:1	675886
29805	741	1:1	858423
73166	7108	1:1	801284
68505	738	1:1	961297
433215	100130348	1:1	413819
81909	7542	1:1	750785
67849	113130	1:1	1219086
381204	HUMAN07019	1:1	954216
66406	29901	1:1	771031
69024	29907	1:1	1191267
56327	HUMAN07004	1:1	
74481	116071	1:1	1155610
78317	283234	1:1	975951
54683	25824	1:1	901595
67674	51504	1:1	1160045
26379	2101	1:1	928545
67077	25858	1:1	953884
16528	50801	1:1	675579
107173	56834	1:1	920551
12015	572	1:1	1179103
18797	5331	1:1	1134900
18938	26472	1:1	1149455
14227	HUMAN06837	1:1	961322
22340	7423	1:1	908495
57431	3338	1:1	965456
68323	84304	1:1	1191852
107328	83707	1:1	942173
108101	83706	1:1	1210366
20867	10963	1:1	961104
56613	8986	1:1	967808
208922	22849	1:1	1196475
69104	54708	1:1	1223099
15925	3416	1:1	937091
16551	3832	1:1	973351
15242	3087	1:1	962678
20743	6712	1:1	961648
66704	83759	1:1	968248
MOUSE27129	100526737	n:1	
319263	115294	1:1	
241201	1005	1:1	968668
26909	9156	1:1	1249878
226720	441925	1:1	
67883	80146	1:1	960950
227485	28513	1:1	967779
319901	HUMAN38932	1:1	412241
69080	29926	1:1	961021
319455	200150	1:1	853170
241118	55515	1:1	908274
636808	129684	1:1	972535
71096	54212	1:1	
MOUSE27196	126017	1:1	991297
59014	23212	1:1	961480
MOUSE27200	90333	1:1	
MOUSE27201	57547	1:1	
117198	10625	1:1	968145
22099	7247	1:1	1220531
67949	84365	1:1	970430
76187	137872	1:1	1177160
66875	54823	1:1	851007
76982	254778	1:1	942801
545389	9859	1:1	
98685	81627	1:1	410038
19821	6045	1:1	761492
17864	4603	1:1	1166553
70675	80124	1:1	1186936
22019	7174	1:1	948112
76816	10806	1:1	964632
433294	196541	1:1	
102636082	643677	1:1	982931
63913	116496	1:1	813920
23797	10000	1:1	
30928	10472	1:1	971577
75623	93081	1:1	1233370
66967	80267	1:1	825578
69428	200159	1:1	928899
69399	81563	1:1	1179260
11566	159	1:1	1244863
631584	257044	n:1	1141596
66637	HUMAN53874	1:1	1135753
13838	2043	1:1	970885
269132	23127	1:1	1239871
72050	79070	1:1	1209626
545391	257044	n:1	
18505	5077	1:1	871618
246229	54841	1:1	1160357
433323	130367	1:1	708092
78825	51029	1:1	719601
66359	116228	1:1	1232070
22592	100533467	1:m	1219880
22592	2073	1:m	
23874	10056	1:1	1190607
19731	23179	1:1	809339
71281	403314	1:1	
68393	116255	1:1	1192593
67771	10092	1:1	822134
MOUSE27347	51454	1:1	1155151
51810	3192	1:1	1208598
68226	84288	1:1	962965
74205	2181	1:1	961036
17970	4688	1:1	969200
269152	55083	1:1	965466
170755	100533105	1:m	
170755	100533105	1:m	964217
57814	HUMAN67214	1:1	1229002
20254	7857	1:1	344995
69726	64754	1:1	1201179
252903	130340	1:1	1247168
15278	64216	1:1	1240355
226744	163882	1:1	865132
12825	1281	1:1	963451
MOUSE27391	157777	1:1	1143808
100039596	100129654	1:1	1193617
109232	51097	1:1	1200064
226517	9887	1:1	342526
12832	1290	1:1	966774
69368	57590	1:1	1220342
69312	HUMAN94111	1:1	963493
69163	65080	1:1	
20720	HUMAN67230	1:1	1220819
226518	23057	1:1	1236252
226747	25909	1:1	1221915
26754	10987	1:1	1246006
73674	84128	1:1	1226753
16782	3918	1:1	965157
26554	8452	1:1	1214897
226519	3915	1:1	965040
MOUSE27455	110806281	1:1	888166
71836	81626	1:1	1243267
MOUSE27460	56171	n:1	671279
13211	1660	1:1	1225087
74091	80896	1:1	1228899
100101919	56171	n:1	
227059	57181	1:1	968374
211660	HUMAN94132	1:1	965222
67792	85397	1:1	1164115
56363	23671	1:1	969146
19734	6004	1:1	1164109
20324	8436	1:1	939952
24014	6041	1:1	1176725
211673	10565	1:1	697147
210293	55619	1:1	779980
329093	57094	1:1	758596
240816	353299	1:1	944864
433365	127670	1:1	1179114
109019	64859	1:1	832952
241134	57624	1:1	959868
14645	2752	1:1	1156277
16367	3667	1:1	968213
100503355	127665	1:1	915658
109294	80243	1:1	342065
76867	84236	1:1	926576
12829	1286	1:1	969467
12828	1285	1:1	970536
12290	777	1:1	963284
15939	51278	1:1	936808
15064	3140	1:1	1141245
320492	116328	1:1	1142002
58244	10228	1:1	670480
207792	57710	1:1	1229577
75734	56947	1:1	1148037
66261	79853	1:1	1153602
MOUSE27584	112441428	n:m	
MOUSE27584	HUMAN67305	n:m	
MOUSE27584	112441435	n:m	
MOUSE27584	HUMAN67307	n:m	
MOUSE27584	112441429	n:m	
MOUSE27584	112441430	n:m	
MOUSE27584	112441431	n:m	
MOUSE27584	112441438	n:m	
MOUSE27584	112441432	n:m	
19775	9213	1:1	
17912	4430	1:1	962117
226751	8476	1:1	967362
72482	84320	1:1	961834
16872	89884	1:1	1162952
20849	6775	1:1	949857
104009	5768	1:1	1233574
240725	23213	1:1	
74081	9857	1:1	967410
67426	56997	1:1	946387
240726	81796	1:1	965070
15463	3267	1:1	961942
MOUSE27654	112441428	n:m	
MOUSE27654	HUMAN67305	n:m	
MOUSE27654	112441435	n:m	
MOUSE27654	HUMAN67307	n:m	
MOUSE27654	112441429	n:m	
MOUSE27654	112441430	n:m	
MOUSE27654	112441431	n:m	
MOUSE27654	112441438	n:m	1013388
MOUSE27654	112441432	n:m	
MOUSE27655	112441428	n:m	
MOUSE27655	HUMAN67305	n:m	
MOUSE27655	112441435	n:m	
MOUSE27655	HUMAN67307	n:m	
MOUSE27655	112441429	n:m	1096323
MOUSE27655	112441430	n:m	
MOUSE27655	112441431	n:m	
MOUSE27655	112441438	n:m	
MOUSE27655	112441432	n:m	
MOUSE27656	112441428	n:m	
MOUSE27656	HUMAN67305	n:m	
MOUSE27656	112441435	n:m	
MOUSE27656	HUMAN67307	n:m	
MOUSE27656	112441429	n:m	
MOUSE27656	112441430	n:m	
MOUSE27656	112441431	n:m	1013365
MOUSE27656	112441438	n:m	
MOUSE27656	112441432	n:m	
MOUSE27657	112441428	n:m	
MOUSE27657	HUMAN67305	n:m	1053586
MOUSE27657	112441435	n:m	
MOUSE27657	HUMAN67307	n:m	
MOUSE27657	112441429	n:m	
MOUSE27657	112441430	n:m	
MOUSE27657	112441431	n:m	
MOUSE27657	112441438	n:m	
MOUSE27657	112441432	n:m	
383491	63978	1:1	965414
MOUSE27659	112441428	n:m	
MOUSE27659	HUMAN67305	n:m	
MOUSE27659	112441435	n:m	
